d_t0_a1_0,a010,a011,SUB
d_t0_a1_1,a011,a010,ADD
d_t0_t00,a000,d_t0_a1_0,ADD
d_t0_t01,a001,d_t0_a1_1,ADD
d_t0_t10,a000,a010,ADD
d_t0_t11,a001,a011,ADD
d_t0_t2_t0,d_t0_t00,d_t0_t10,MUL
d_t0_t2_t1,d_t0_t01,d_t0_t11,MUL
d_t0_t2_t2,d_t0_t00,d_t0_t01,ADD
d_t0_t2_t3,d_t0_t10,d_t0_t11,ADD
d_t0_t2_t4,d_t0_t2_t2,d_t0_t2_t3,MUL
d_t0_t20,d_t0_t2_t0,d_t0_t2_t1,SUB
d_t0_t2_t5,d_t0_t2_t0,d_t0_t2_t1,ADD
d_t0_t21,d_t0_t2_t4,d_t0_t2_t5,SUB
d_t0_t3_t0,a000,a010,MUL
d_t0_t3_t1,a001,a011,MUL
d_t0_t3_t2,a000,a001,ADD
d_t0_t3_t3,a010,a011,ADD
d_t0_t3_t4,d_t0_t3_t2,d_t0_t3_t3,MUL
d_t0_t30,d_t0_t3_t0,d_t0_t3_t1,SUB
d_t0_t3_t5,d_t0_t3_t0,d_t0_t3_t1,ADD
d_t0_t31,d_t0_t3_t4,d_t0_t3_t5,SUB
d_t0_t40,d_t0_t30,d_t0_t31,SUB
d_t0_t41,d_t0_t31,d_t0_t30,ADD
d_t0_t50,d_t0_t30,d_t0_t40,ADD
d_t0_t51,d_t0_t31,d_t0_t41,ADD
d_t000,d_t0_t20,d_t0_t50,SUB
d_t001,d_t0_t21,d_t0_t51,SUB
d_t010,d_t0_t30,d_t0_t30,ADD
d_t011,d_t0_t31,d_t0_t31,ADD
d_t1_a1_0,a110,a111,SUB
d_t1_a1_1,a111,a110,ADD
d_t1_t00,a100,d_t1_a1_0,ADD
d_t1_t01,a101,d_t1_a1_1,ADD
d_t1_t10,a100,a110,ADD
d_t1_t11,a101,a111,ADD
d_t1_t2_t0,d_t1_t00,d_t1_t10,MUL
